W, , , , , , , , , , , , ,W, , , , , , , , , , ,W
 , , , ,K, , , , , , ,W, , , , , , , , , , , , , 
W, , , , , , , , , , , , , , , , , , , , , , , ,W
 , ,B, ,B, ,B, ,W, ,W, , , , , , , , , , , , , , 
W, , , , , , , , , , , , , , , , , , , , , , , ,W
 , , , , , , , ,W, , , , , , , , ,M, , , , , , , 
W, , , , , , , , , , , , , , , , , , , , , , , ,W
 , , , , , , , , , , , ,P, ,P, ,P, ,P, ,P, , , , 
W, ,P, ,P, ,P, , , , , , , , , , , , , , ,K, , ,W
 , , , , , , , , , , , , , , , , , , , , , , , , 
W, , , , , , , , , , , , , , , , , , , , , , , ,W
 , , , , , , , , , , , , , , , , , ,S, , , , , , 
W, , , , , , , , , , , , , ,D, , , , , , , , , ,W
 , , , , , , , , , , , , , , , ,W, ,W, ,W, ,W, , 
W, , , , ,M, , , , , , ,W, , , , , , , , , , , ,W
 , , , , , , , , , , , , , ,P, , , ,D, , , , , , 
W, , , ,P, ,P, , , , , ,W, , , , , , , , ,G, , ,W
 , , , , , , , , , ,P, , , , , , , , , , , , , , 
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F
